ime,id,leto,minplay,maxplay,mintime,maxtime,minage,ocena,glasovi,kategorije,mechanic

Catan,13,1995,3,4,60,120,10,7.1791,88579,['Negotiation'],"['Dice Rolling', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Race']"

Carcassonne,822,2000,2,5,30,45,8,7.42312,88383,"['City Building', 'Medieval', 'Territory Building']","['Area Majority \\/ Influence', 'Tile Placement']"

Pandemic,30549,2008,2,4,45,45,8,7.62693,87254,['Medical'],"['Action Points', 'Cooperative Game', 'Hand Management', 'Point to Point Movement', 'Set Collection', 'Solo \\/ Solitaire Game']"

7 Wonders,68448,2010,2,7,30,30,10,7.77183,72419,"['Ancient', 'Card Game', 'City Building', 'Civilization']","['Card Drafting', 'Drafting', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection', 'Variable Player Powers']"

Dominion,36218,2008,2,4,30,30,13,7.6371,70461,"['Card Game', 'Medieval']","['Deck, Bag, and Pool Building', 'Hand Management', 'Take That', 'Variable Setup']"

Ticket to Ride,9209,2004,2,5,30,60,8,7.43978,62701,['Trains'],"['Card Drafting', 'Hand Management', 'Network and Route Building', 'Set Collection']"

Agricola,31260,2007,1,5,30,150,12,7.97815,58647,"['Animals', 'Economic', 'Farming']","['Action Drafting', 'Automatic Resource Growth', 'Card Drafting', 'Enclosure', 'Hand Management', 'Increase Value of Unchosen Resources']"

Puerto Rico,3076,2002,3,5,90,150,12,8.02597,57967,"['City Building', 'Economic', 'Farming']","['Action Drafting', 'End Game Bonuses', 'Follow', 'Hidden Victory Points', 'Increase Value of Unchosen Resources', 'Turn Order: Progressive']"

Small World,40692,2009,2,5,40,80,8,7.29076,55364,"['Fantasy', 'Fighting', 'Territory Building']","['Area Majority \\/ Influence', 'Area Movement', 'Dice Rolling', 'Variable Player Powers']"

Codenames,178900,2015,2,8,15,15,14,7.68118,54883,"['Card Game', 'Deduction', 'Party Game', 'Spies\\/Secret Agents', 'Word Game']","['Communication Limits', 'Memory', 'Push Your Luck', 'Team-Based Game']"

Power Grid,2651,2004,2,6,120,120,12,7.88343,51486,"['Economic', 'Industry \\/ Manufacturing']","['Auction: Turn Order Until Pass', 'Market', 'Network and Route Building', 'Turn Order: Stat-Based']"

King of Tokyo,70323,2011,2,6,30,30,8,7.21686,50656,"['Dice', 'Fighting', 'Movies \\/ TV \\/ Radio theme', 'Science Fiction']","['Card Drafting', 'Dice Rolling', 'Player Elimination', 'Push Your Luck']"

Ticket to Ride: Europe,14996,2005,2,5,30,60,8,7.55494,49718,['Trains'],"['Card Drafting', 'Hand Management', 'Network and Route Building', 'Set Collection']"

Love Letter,129622,2012,2,4,20,20,10,7.24439,48955,"['Card Game', 'Deduction', 'Renaissance']","['Hand Management', 'Player Elimination']"

Splendor,148228,2014,2,4,30,30,10,7.46787,48314,"['Card Game', 'Economic', 'Renaissance']","['Card Drafting', 'Contracts', 'Set Collection']"

Terraforming Mars,167791,2016,1,5,120,120,12,8.41187,44904,"['Economic', 'Environmental', 'Industry \\/ Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Drafting', 'End Game Bonuses', 'Hand Management', 'Income', 'Set Collection', 'Take That']"

7 Wonders Duel,173346,2015,2,2,30,30,10,8.11276,44858,"['Ancient', 'Card Game', 'City Building', 'Civilization']","['Card Drafting', 'Drafting', 'Set Collection', 'Sudden Death Ending', 'Tug of War']"

Citadels,478,2000,2,8,20,60,10,7.09491,44774,"['Bluffing', 'Card Game', 'City Building', 'Fantasy', 'Medieval']","['Action Drafting', 'Card Drafting', 'Set Collection', 'Turn Order: Role Order', 'Variable Player Powers']"

Scythe,169786,2016,1,5,90,115,14,8.26949,44234,"['Economic', 'Fighting', 'Science Fiction', 'Territory Building']","['Area Majority \\/ Influence', 'Grid Movement', 'Variable Player Powers']"

Dixit,39856,2008,3,6,30,30,8,7.28233,43503,"['Card Game', 'Humor', 'Party Game']","['Communication Limits', 'Simultaneous Action Selection', 'Storytelling', 'Voting']"

